Country,Year,MFN _SimpleAverage ,MFN_ WeightedAverage ,MFN_Total_ Tariff ,MFN_SpecificTariff
 World,2021,8.93,6.57,1535059,0.04
Afghanistan,2021,9.9,8.23,620990,17.97
Albania,2021,9.26,9.21,793282,7.51
Algeria,2021,9.62,3,717575,15.5
American Samoa,2021,9.14,5.76,222523,37.98
Andorra,2021,9.7,7.73,566358,21.77
Angola,2021,8.91,2.79,503102,20.32
Anguila,2021,8.64,5.74,187077,44.81
Antarctica,2021,7.78,3.93,87279,41.19
Antigua and Barbuda,2021,10.4,5.97,450203,32.55
Argentina,2021,8.88,12.35,1248257,4.21
Armenia,2021,10.05,7.25,725428,11.76
Aruba,2021,8.94,3.11,234211,45.58
Australia,2021,8.59,5.57,1458335,2.2
Austria,2021,8.52,7.85,1367765,3.36
Azerbaijan,2021,9.57,2.92,653849,17.13
"Bahamas, The",2021,9.3,5.68,380580,25.52
Bahrain,2021,8.94,5.34,911908,12.25
Bangladesh,2021,9.58,14.63,916847,5.03
Barbados,2021,9.74,16.48,534116,36.98
Belarus,2021,8.62,10.45,1333828,5.72
Belgium,2021,8.58,7.38,1458598,2.59
Belize,2021,9.56,16.74,409862,34.75
Benin,2021,9.73,6.52,462537,36.89
Bermuda,2021,8.93,6.11,309128,51.08
Bhutan,2021,9.65,4.51,214750,72.71
Bolivia,2021,9.5,6.42,563711,22.04
Bonaire,2021,8.23,9.42,73092,18.82
Bosnia and Herzegovina,2021,9.1,7.77,1003261,6.17
Botswana,2021,9.59,7.38,726689,40.73
Bouvet Island,2021,9.04,12.44,34825,12.02
Br. Antr. Terr,2021,9.3,7.7,1611,320
Brazil,2021,8.68,10.57,1433122,2.23
British Indian Ocean Ter.,2021,9.06,6.77,120221,51.3
British Virgin Islands,2021,8.91,6.04,349882,34.37
Brunei,2021,8.56,2.75,439278,27.04
Bulgaria,2021,8.7,7.58,1182619,5.45
Bunkers,2021,8.28,3.42,73538,31.03
Burkina Faso,2021,9.35,4.63,499807,37.97
Burundi,2021,10.27,8.47,260510,56.98
Cambodia,2021,9.55,13.14,735318,5.41
Cameroon,2021,9.46,4.27,678154,14.94
Canada,2021,8.6,6.7,1479981,1.76
Cape Verde,2021,8.84,12.87,291998,31.44
Cayman Islands,2021,8.55,7.27,305798,36.98
Central African Republic,2021,9.01,4.56,208427,58.97
Chad,2021,9.02,2.74,220902,28.04
Chile,2021,8.96,5.92,1171533,4.94
China,2021,8.64,6.39,1524097,0.74
Christmas Island,2021,8.1,3.79,138997,43.37
Cocos (Keeling) Islands,2021,8.2,6.01,145880,35.69
Colombia,2021,8.63,7.17,1232014,4.87
Comoros,2021,10.07,7.22,134218,42.11
"Congo, Dem. Rep.",2021,9.77,3.41,596530,28.96
"Congo, Rep.",2021,9.15,2.8,542343,32.89
Cook Islands,2021,8.85,9.24,135011,18.32
Costa Rica,2021,8.98,8.93,1024977,7.77
Cote d'Ivoire,2021,9.46,7.13,791523,16.55
Croatia,2021,8.9,8.89,1132426,8.9
Cuba,2021,10.18,21.95,344580,23.98
Curaçao,2021,9.68,5.99,620051,33.25
Cyprus,2021,9.86,10.89,686237,17.29
Czech Republic,2021,8.33,7.07,1284071,3.64
Denmark,2021,8.73,8.27,1375034,3.65
Djibouti,2021,9.11,9.01,287108,47.08
Dominica,2021,10,9.42,290499,26.31
Dominican Republic,2021,9.29,12.47,912345,8.51
East Asia & Pacific,2021,8.68,6.27,1532665,0.15
East Timor,2021,9.06,3.02,181888,47.09
Ecuador,2021,9.36,10.23,910380,8.19
"Egypt, Arab Rep.",2021,9.09,7.49,1187074,4.23
El Salvador,2021,8.99,12.92,968321,13.47
Equatorial Guinea,2021,7.41,2.63,152164,22.21
Eritrea,2021,9.54,3.32,148895,27.47
Estonia,2021,8.84,6.05,959547,9.05
Eswatini,2021,8.89,13.92,766439,20.66
Ethiopia(excludes Eritrea),2021,9.93,10.05,680125,13.59
Europe & Central Asia,2021,8.73,7.02,1533921,0.09
Faeroe Islands,2021,8.59,9.41,338358,23.9
Falkland Island,2021,8.14,8.48,101103,55.24
Fiji,2021,9.74,14.27,769262,35.71
Finland,2021,8.36,5.44,1175402,4.81
Fr. So. Ant. Tr,2021,9.65,9.95,76274,74.76
France,2021,8.65,8.17,1509114,1.79
Free Zones,2021,8.66,9.1,917591,54.64
French Polynesia,2021,9.06,8.96,362697,27.98
Gabon,2021,8.41,2.85,385218,23.61
"Gambia, The",2021,9.99,6.31,284682,48.44
Georgia,2021,9.34,7.49,803026,7.44
Germany,2021,8.52,7.02,1511622,1.52
Ghana,2021,9.31,5.25,910184,12.21
Gibraltar,2021,8.3,8.2,356752,31.12
Greece,2021,8.98,10.85,1210111,5.87
Greenland,2021,8.03,11.63,206607,13.03
Grenada,2021,10.01,13.58,256555,59.13
Guam,2021,9.29,6.56,475720,62.35
Guatemala,2021,9.1,14.81,1040263,10.79
Guinea,2021,9.29,3.99,457821,26.4
Guinea-Bissau,2021,8.99,9.79,93913,29.38
Guyana,2021,10.18,4.51,398207,33.88
Haiti,2021,10.83,14.13,406757,23.32
Heard Island and McDonald Isla,2021,9.62,7.46,19133,2.88
Holy See,2021,9.43,7.34,117013,6.51
Honduras,2021,9.5,13.22,880936,15.1
"Hong Kong, China",2021,8.4,5.64,1397214,1.95
Hungary,2021,8.79,7.75,1188754,4.34
Iceland,2021,9.16,6.66,831834,8.74
India,2021,8.47,8.32,1496039,1.16
Indonesia,2021,8.51,7.62,1376466,2.2
"Iran, Islamic Rep.",2021,8.98,6.2,1091612,6.65
Iraq,2021,9.28,2.35,582786,19.76
Ireland,2021,8.96,6.4,1289273,5.69
Israel,2021,8.62,5.33,1253541,2.64
Italy,2021,8.61,8.89,1490444,1.63
Jamaica,2021,11.05,12.35,663714,25.18
Japan,2021,8.48,6,1488159,1.29
Jordan,2021,9.67,10.12,888141,9.35
Kazakhstan,2021,8.88,3.55,1081339,10.89
Kenya,2021,9.08,12.96,1125976,9.32
Kiribati,2021,8.3,8.9,87810,121.65
"Korea, Dem. Rep.",2021,8.03,6.05,431830,32.74
"Korea, Rep.",2021,8.47,4.98,1453574,1.5
Kuwait,2021,9.13,2.52,798302,14.12
Kyrgyz Republic,2021,9.68,6.09,740715,23.8
Lao PDR,2021,9.65,6.29,532941,14.48
Latin America & Caribbean,2021,8.77,9.32,1509731,0.39
Latvia,2021,8.82,8.51,1017321,8.46
Lebanon,2021,9.5,8.73,1029275,7.01
Lesotho,2021,9.54,10.29,443098,61.12
Liberia,2021,9.21,3.75,393059,53.83
Libya,2021,9.04,2.33,302179,42.9
Lithuania,2021,8.7,8.95,1184741,6.09
Luxembourg,2021,9,5.93,922040,11.05
Macao,2021,9.86,10.83,642568,14.63
Madagascar,2021,10.07,9.76,616212,12.7
Malawi,2021,10.03,25.05,364314,37.07
Malaysia,2021,8.52,4.72,1424243,2.3
Maldives,2021,9.6,11.13,328501,44.38
Mali,2021,9.36,4.28,510393,26.61
Malta,2021,9.06,4.46,670209,14.11
Marshall Islands,2021,9.43,4.3,199718,64.95
Mauritania,2021,9.58,4.3,414776,27.99
Mauritius,2021,8.93,15.44,911479,10.62
Mexico,2021,8.54,8.66,1413093,2.07
"Micronesia, Fed. Sts.",2021,9.38,9.48,118741,37.33
Middle East & North Africa,2021,8.56,4.29,1507304,0.46
Moldova,2021,9.47,11.23,766819,7.85
Mongolia,2021,9.5,3.32,419119,26.3
Montenegro,2021,9.15,5.07,603401,17.04
Montserrat,2021,7.77,5.17,122031,40.05
Morocco,2021,8.96,10.28,1157686,4.38
Mozambique,2021,9,6.24,626591,21.8
Myanmar,2021,9.57,10.16,760331,7.17
Namibia,2021,9.32,6.8,951929,20.93
Nauru,2021,7.97,8.11,182968,39.06
Nepal,2021,9.91,13.18,571129,11.99
Netherlands,2021,8.72,8.79,1488852,2.29
New Caledonia,2021,8.57,3.05,358255,25.14
New Zealand,2021,8.97,21.36,1312404,3.88
Nicaragua,2021,9.99,18.5,731841,17.29
Niger,2021,9.27,4.54,519790,33.84
Nigeria,2021,9.13,2.61,1084714,10.26
Niue,2021,8.16,4.66,101056,51.8
Norfolk Island,2021,8.26,5.72,60633,186.91
North America,2021,8.92,6.3,1533357,0.59
North Macedonia,2021,9.2,7.24,914328,6.41
Northern Mariana Islands,2021,8.17,3.71,88583,70.16
Norway,2021,8.53,4.18,1367282,2.87
Occ.Pal.Terr,2021,11.97,13.04,182541,47.92
Oman,2021,9.15,3.25,875108,13.71
"Other Asia, nes",2021,8.41,3.5,1434402,1.54
Pakistan,2021,9.07,14.71,1172571,3.98
Palau,2021,8.29,4.45,45350,70.08
Panama,2021,8.79,6.52,1101233,8.63
Papua New Guinea,2021,8.58,4.67,365808,41.2
Paraguay,2021,10.03,17.02,565364,16.27
Peru,2021,8.92,6.25,1169638,5.68
Philippines,2021,9.03,4.82,1185138,3.16
Pitcairn,2021,9.29,11.18,114986,131.94
Poland,2021,8.64,9.55,1408298,2.94
Portugal,2021,8.75,9.55,1399371,4.05
Qatar,2021,8.86,2.78,1041451,11.19
Romania,2021,8.91,8.99,1196683,4.97
Russian Federation,2021,8.55,4.14,1484465,2.17
Rwanda,2021,10.05,6.96,390494,37.61
Saint Barthélemy,2021,9.16,11.6,136547,54.03
Saint Helena,2021,7.77,9.06,156494,35.27
Saint Maarten (Dutch part),2021,9.45,10.72,453352,43.15
